Listing files in s3://bos-ai-rtl-src-533335672315/rtl-sources/tt_20260221/...
Found 9465 RTL files
Batch 1: 50/9465 triggered (success=50, failed=0, rate=263.6/s, ETA=0.6min)
Batch 2: 100/9465 triggered (success=100, failed=0, rate=72.7/s, ETA=2.1min)
Batch 3: 150/9465 triggered (success=150, failed=0, rate=57.6/s, ETA=2.7min)
Batch 4: 200/9465 triggered (success=200, failed=0, rate=52.6/s, ETA=2.9min)
Batch 5: 250/9465 triggered (success=250, failed=0, rate=50.1/s, ETA=3.1min)
Batch 6: 300/9465 triggered (success=300, failed=0, rate=48.6/s, ETA=3.1min)
Batch 7: 350/9465 triggered (success=350, failed=0, rate=47.6/s, ETA=3.2min)
Batch 8: 400/9465 triggered (success=400, failed=0, rate=46.9/s, ETA=3.2min)
Batch 9: 450/9465 triggered (success=450, failed=0, rate=46.1/s, ETA=3.3min)
Batch 10: 500/9465 triggered (success=500, failed=0, rate=45.5/s, ETA=3.3min)
Batch 11: 550/9465 triggered (success=550, failed=0, rate=45.2/s, ETA=3.3min)
Batch 12: 600/9465 triggered (success=600, failed=0, rate=44.9/s, ETA=3.3min)
Batch 13: 650/9465 triggered (success=650, failed=0, rate=44.4/s, ETA=3.3min)
Batch 14: 700/9465 triggered (success=700, failed=0, rate=44.1/s, ETA=3.3min)
Batch 15: 750/9465 triggered (success=750, failed=0, rate=43.9/s, ETA=3.3min)
Batch 16: 800/9465 triggered (success=800, failed=0, rate=43.8/s, ETA=3.3min)
Batch 17: 850/9465 triggered (success=850, failed=0, rate=43.7/s, ETA=3.3min)
Batch 18: 900/9465 triggered (success=900, failed=0, rate=43.6/s, ETA=3.3min)
Batch 19: 950/9465 triggered (success=950, failed=0, rate=43.5/s, ETA=3.3min)
Batch 20: 1000/9465 triggered (success=1000, failed=0, rate=43.3/s, ETA=3.3min)
Batch 21: 1050/9465 triggered (success=1050, failed=0, rate=43.2/s, ETA=3.2min)
Batch 22: 1100/9465 triggered (success=1100, failed=0, rate=43.1/s, ETA=3.2min)
Batch 23: 1150/9465 triggered (success=1150, failed=0, rate=43.0/s, ETA=3.2min)
Batch 24: 1200/9465 triggered (success=1200, failed=0, rate=43.0/s, ETA=3.2min)
Batch 25: 1250/9465 triggered (success=1250, failed=0, rate=42.9/s, ETA=3.2min)
Batch 26: 1300/9465 triggered (success=1300, failed=0, rate=42.9/s, ETA=3.2min)
Batch 27: 1350/9465 triggered (success=1350, failed=0, rate=42.9/s, ETA=3.2min)
Batch 28: 1400/9465 triggered (success=1400, failed=0, rate=42.8/s, ETA=3.1min)
Batch 29: 1450/9465 triggered (success=1450, failed=0, rate=42.8/s, ETA=3.1min)
Batch 30: 1500/9465 triggered (success=1500, failed=0, rate=42.8/s, ETA=3.1min)
Batch 31: 1550/9465 triggered (success=1550, failed=0, rate=42.8/s, ETA=3.1min)
Batch 32: 1600/9465 triggered (success=1600, failed=0, rate=42.8/s, ETA=3.1min)
Batch 33: 1650/9465 triggered (success=1650, failed=0, rate=42.7/s, ETA=3.0min)
Batch 34: 1700/9465 triggered (success=1700, failed=0, rate=42.7/s, ETA=3.0min)
Batch 35: 1750/9465 triggered (success=1750, failed=0, rate=42.7/s, ETA=3.0min)
Batch 36: 1800/9465 triggered (success=1800, failed=0, rate=42.7/s, ETA=3.0min)
Batch 37: 1850/9465 triggered (success=1850, failed=0, rate=42.7/s, ETA=3.0min)
Batch 38: 1900/9465 triggered (success=1900, failed=0, rate=42.7/s, ETA=3.0min)
Batch 39: 1950/9465 triggered (success=1950, failed=0, rate=42.7/s, ETA=2.9min)
Batch 40: 2000/9465 triggered (success=2000, failed=0, rate=42.6/s, ETA=2.9min)
Batch 41: 2050/9465 triggered (success=2050, failed=0, rate=42.6/s, ETA=2.9min)
Batch 42: 2100/9465 triggered (success=2100, failed=0, rate=42.6/s, ETA=2.9min)
Batch 43: 2150/9465 triggered (success=2150, failed=0, rate=42.6/s, ETA=2.9min)
Batch 44: 2200/9465 triggered (success=2200, failed=0, rate=42.5/s, ETA=2.8min)
Batch 45: 2250/9465 triggered (success=2250, failed=0, rate=42.5/s, ETA=2.8min)
Batch 46: 2300/9465 triggered (success=2300, failed=0, rate=42.5/s, ETA=2.8min)
Batch 47: 2350/9465 triggered (success=2350, failed=0, rate=42.4/s, ETA=2.8min)
Batch 48: 2400/9465 triggered (success=2400, failed=0, rate=42.4/s, ETA=2.8min)
Batch 49: 2450/9465 triggered (success=2450, failed=0, rate=42.4/s, ETA=2.8min)
Batch 50: 2500/9465 triggered (success=2500, failed=0, rate=42.3/s, ETA=2.7min)
Batch 51: 2550/9465 triggered (success=2550, failed=0, rate=42.3/s, ETA=2.7min)
Batch 52: 2600/9465 triggered (success=2600, failed=0, rate=42.3/s, ETA=2.7min)
Batch 53: 2650/9465 triggered (success=2650, failed=0, rate=42.3/s, ETA=2.7min)
Batch 54: 2700/9465 triggered (success=2700, failed=0, rate=42.3/s, ETA=2.7min)
Batch 55: 2750/9465 triggered (success=2750, failed=0, rate=42.3/s, ETA=2.6min)
Batch 56: 2800/9465 triggered (success=2800, failed=0, rate=42.3/s, ETA=2.6min)
Batch 57: 2850/9465 triggered (success=2850, failed=0, rate=42.3/s, ETA=2.6min)
Batch 58: 2900/9465 triggered (success=2900, failed=0, rate=42.3/s, ETA=2.6min)
Batch 59: 2950/9465 triggered (success=2950, failed=0, rate=42.2/s, ETA=2.6min)
Batch 60: 3000/9465 triggered (success=3000, failed=0, rate=42.2/s, ETA=2.6min)
Batch 61: 3050/9465 triggered (success=3050, failed=0, rate=42.2/s, ETA=2.5min)
Batch 62: 3100/9465 triggered (success=3100, failed=0, rate=42.2/s, ETA=2.5min)
Batch 63: 3150/9465 triggered (success=3150, failed=0, rate=42.1/s, ETA=2.5min)
Batch 64: 3200/9465 triggered (success=3200, failed=0, rate=42.1/s, ETA=2.5min)
Batch 65: 3250/9465 triggered (success=3250, failed=0, rate=42.1/s, ETA=2.5min)
Batch 66: 3300/9465 triggered (success=3300, failed=0, rate=42.1/s, ETA=2.4min)
Batch 67: 3350/9465 triggered (success=3350, failed=0, rate=42.1/s, ETA=2.4min)
Batch 68: 3400/9465 triggered (success=3400, failed=0, rate=42.1/s, ETA=2.4min)
Batch 69: 3450/9465 triggered (success=3450, failed=0, rate=42.1/s, ETA=2.4min)
Batch 70: 3500/9465 triggered (success=3500, failed=0, rate=42.1/s, ETA=2.4min)
Batch 71: 3550/9465 triggered (success=3550, failed=0, rate=42.1/s, ETA=2.3min)
Batch 72: 3600/9465 triggered (success=3600, failed=0, rate=42.1/s, ETA=2.3min)
Batch 73: 3650/9465 triggered (success=3650, failed=0, rate=42.1/s, ETA=2.3min)
Batch 74: 3700/9465 triggered (success=3700, failed=0, rate=42.0/s, ETA=2.3min)
Batch 75: 3750/9465 triggered (success=3750, failed=0, rate=42.0/s, ETA=2.3min)
Batch 76: 3800/9465 triggered (success=3800, failed=0, rate=42.0/s, ETA=2.2min)
Batch 77: 3850/9465 triggered (success=3850, failed=0, rate=42.0/s, ETA=2.2min)
Batch 78: 3900/9465 triggered (success=3900, failed=0, rate=41.9/s, ETA=2.2min)
Batch 79: 3950/9465 triggered (success=3950, failed=0, rate=41.9/s, ETA=2.2min)
Batch 80: 4000/9465 triggered (success=4000, failed=0, rate=41.9/s, ETA=2.2min)
Batch 81: 4050/9465 triggered (success=4050, failed=0, rate=41.9/s, ETA=2.2min)
Batch 82: 4100/9465 triggered (success=4100, failed=0, rate=41.9/s, ETA=2.1min)
Batch 83: 4150/9465 triggered (success=4150, failed=0, rate=41.9/s, ETA=2.1min)
Batch 84: 4200/9465 triggered (success=4200, failed=0, rate=41.9/s, ETA=2.1min)
Batch 85: 4250/9465 triggered (success=4250, failed=0, rate=41.9/s, ETA=2.1min)
Batch 86: 4300/9465 triggered (success=4300, failed=0, rate=41.9/s, ETA=2.1min)
Batch 87: 4350/9465 triggered (success=4350, failed=0, rate=41.9/s, ETA=2.0min)
Batch 88: 4400/9465 triggered (success=4400, failed=0, rate=41.9/s, ETA=2.0min)
Batch 89: 4450/9465 triggered (success=4450, failed=0, rate=41.9/s, ETA=2.0min)
Batch 90: 4500/9465 triggered (success=4500, failed=0, rate=41.9/s, ETA=2.0min)
Batch 91: 4550/9465 triggered (success=4550, failed=0, rate=41.9/s, ETA=2.0min)
Batch 92: 4600/9465 triggered (success=4600, failed=0, rate=41.9/s, ETA=1.9min)
Batch 93: 4650/9465 triggered (success=4650, failed=0, rate=41.9/s, ETA=1.9min)
Batch 94: 4700/9465 triggered (success=4700, failed=0, rate=41.9/s, ETA=1.9min)
Batch 95: 4750/9465 triggered (success=4750, failed=0, rate=41.9/s, ETA=1.9min)
